image,name,price
https://ostore.kg//upload/resize_cache/iblock/1ca/220_200_1/1Black.jpeg,Xiaomi POCO C3,10200 c 
https://ostore.kg//upload/resize_cache/iblock/590/220_200_1/1Black.JPG,Xiaomi POCO X3 Pro,25900 c 
https://ostore.kg//upload/resize_cache/iblock/c91/220_200_1/1Black.JPG,Xiaomi POCO F3,34600 c 
https://ostore.kg//upload/resize_cache/iblock/c8f/220_200_1/1Black.JPG,Xiaomi Redmi Note 10S (NFC),20300 c 
https://ostore.kg//upload/resize_cache/iblock/b19/220_200_1/1Black.jpg,Xiaomi Mi 11 Lite 5G,31300 c 
https://ostore.kg//upload/resize_cache/iblock/e53/220_200_1/1Black.jpg,Xiaomi Mi 11,68200 c 
https://ostore.kg//upload/resize_cache/iblock/2c6/220_200_1/1Black.jpeg,Xiaomi Redmi Note 8 2021,13800 c 
https://ostore.kg//upload/resize_cache/iblock/f7e/220_200_1/1Black.jpeg,Honor 7A,6990 c 
https://ostore.kg//upload/resize_cache/iblock/581/220_200_1/1Black.PNG,Honor 10,22990 c 
https://ostore.kg//upload/resize_cache/iblock/119/220_200_1/1Black.PNG,Honor 8А,9890 c 
https://ostore.kg//upload/resize_cache/iblock/26a/220_200_1/1Black.JPG,Honor 8S,8690 c 
https://ostore.kg//upload/resize_cache/iblock/496/220_200_1/1Green.JPG,Honor 20 Pro,36690 c 
https://ostore.kg//upload/resize_cache/iblock/2cd/220_200_1/1Black.JPG,Honor 20,29000 c 
https://ostore.kg//upload/resize_cache/iblock/461/220_200_1/1Black.JPG,Honor 10i,16340 c 
https://ostore.kg//upload/resize_cache/iblock/545/220_200_1/1Black.JPG,Honor 9X Premium,18890 c 
https://ostore.kg//upload/resize_cache/iblock/2e3/180_240_1/1Wingleсом.PNG,4G Wi-Fi Wingle,"1 c  / шт
"
https://ostore.kg//upload/resize_cache/iblock/30a/180_240_1/photo_2021-03-03_17-03-48.jpg,4G Wi-Fi роутер,"1 c  / шт
"
https://ostore.kg//upload/resize_cache/iblock/6ea/180_240_1/ВД-1.0.png,"Комплект ""Вместе дешевле 1.0""","3290 c  / шт
"
https://ostore.kg//upload/resize_cache/iblock/7cf/220_200_1/1Black.jpg,Honor 9X Lite,17390 c 
https://ostore.kg//upload/resize_cache/iblock/8f5/220_200_1/1Black.jpg,Honor 8S Prime,9490 c 
https://ostore.kg//upload/resize_cache/iblock/1ad/220_200_1/1Black.png,Honor 8A Prime,11090 c 
https://ostore.kg//upload/resize_cache/iblock/aa2/220_200_1/1Black.JPG,Honor 8A Pro,11090 c 
https://ostore.kg//upload/resize_cache/iblock/f26/220_200_1/1Black.jpg,Honor 9C,14390 c 
https://ostore.kg//upload/resize_cache/iblock/7d4/220_200_1/1Blue.jpg,Tecno Pop 2F,4950 c 
https://ostore.kg//upload/resize_cache/iblock/d54/220_200_1/1Blue.jpg,Tecno Spark 4,10500 c 
https://ostore.kg//upload/resize_cache/iblock/29b/220_200_1/1Blue.jpg,Tecno Pouvoir 4,10500 c 
